Text,Sentiment,Clean_Text,Predicted_Sentiment
 Enjoying a beautiful day at the park!              , Positive  ,enjoying beautiful day park,Positive
 Traffic was terrible this morning.                 , Negative  ,traffic terrible morning,Negative
 Just finished an amazing workout! 💪               , Positive  ,finished amazing workout,Positive
 Excited about the upcoming weekend getaway!        , Positive  ,excited upcoming weekend getaway,Positive
 Trying out a new recipe for dinner tonight.        , Neutral   ,trying new recipe dinner tonight,Positive
 Feeling grateful for the little things in life.    , Positive  ,feeling grateful little things life,Negative
 Rainy days call for cozy blankets and hot cocoa.   , Positive  ,rainy days call cozy blankets hot cocoa,Positive
 The new movie release is a must-watch!             , Positive  ,new movie release,Positive
 Political discussions heating up on the timeline.  , Negative  ,political discussions heating timeline,Neutral
 Missing summer vibes and beach days.               , Neutral   ,missing summer vibes beach days,Negative
 Just published a new blog post. Check it out!      , Positive  ,published new blog post check,Positive
 Feeling a bit under the weather today.             , Negative  ,feeling bit weather today,Neutral
 Exploring the city's hidden gems.                  , Positive  ,exploring city hidden gems,Negative
" New year, new fitness goals! 💪                    ", Positive  ,new year new fitness goals,Positive
 Technology is changing the way we live.            , Neutral   ,technology changing way live,Positive
 Reflecting on the past and looking ahead.          , Positive  ,reflecting past looking ahead,Negative
 Just adopted a cute furry friend! 🐾              , Positive  ,adopted cute furry friend,Positive
 Late-night gaming session with friends.            , Positive  ,gaming session friends,Neutral
 Attending a virtual conference on AI.              , Neutral   ,attending virtual conference ai,Neutral
 Winter blues got me feeling low.                   , Negative  ,winter blues got feeling low,Neutral
 Sipping coffee and enjoying a good book.           , Positive  ,sipping coffee enjoying good book,Positive
 Exploring the world of virtual reality.            , Positive  ,exploring world virtual reality,Neutral
 Productive day ticking off my to-do list.          , Positive  ,productive day ticking list,Neutral
 Just finished a challenging workout routine.       , Positive  ,finished challenging workout routine,Positive
 Celebrating a milestone at work! 🎉               , Positive  ,celebrating milestone work,Neutral
 Sunday brunch with friends.                        , Positive  ,sunday brunch friends,Neutral
 Learning a new language for personal growth.       , Positive  ,learning new language personal growth,Positive
 Quiet evening with a good book.                    , Positive  ,quiet evening good book,Positive
 Reflecting on the importance of mental health.     , Positive  ,reflecting importance mental health,Negative
 New painting in progress! 🎨                       , Positive  ,new painting progress,Positive
 Weekend road trip to explore scenic views.         , Positive  ,weekend road trip explore scenic views,Neutral
 Enjoying a cup of tea and watching the sunset.     , Positive  ,enjoying cup tea watching sunset,Positive
 Coding a new project with enthusiasm.              , Positive  ,coding new project enthusiasm,Positive
 Feeling inspired after attending a workshop.       , Positive  ,feeling inspired attending workshop,Neutral
